n	target	url	grade	http	bytes	outcome	note
1	Primary (iii) Ley 39/2015 (ES) arts. 21, 24, 25 — BOE consolidated	https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565	primary	200	570929	REACHED	Official consolidated text, Spanish original. Stripped locally; no summariser. Carried 10 of the 11 in-set rows.
2	Primary (iv) Directive 2006/123/EC Art. 13(4) — EUR-Lex	https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32006L0123	primary	200	388209	REACHED	Official OJ text. Art. 13(3)-(7) and recital 42 read in full.
3	Primary (i) Code civil (FR) arts. 2219/2224/2247 — codes.droit.org mirror	https://codes.droit.org/CodeV3/civil/pdf	near-primary	404	196	NOT-REACHED	Path guess, 404. Mirror structure not known to me.
4	Primary (i) Code civil (FR) art. 2247 — Legifrance article page	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006434246	primary	403	5609	NOT-REACHED	403, same block c981 hit. Legifrance is now durably unreachable from here — TWO cycles, four attempts.
5	Primary (i) Code civil (FR) prescription section — Wayback id_ fallback (c859 recipe)	https://web.archive.org/web/2023id_/https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006070721/LEGISCTA000019017126/	fallback	404	151417	NOT-REACHED	404 with a 151 kB body — the Wayback 404 page. Byte count is not evidence of content (c938).
6	Primary (v) Legge 241/1990 (IT) art. 20 — Normattiva	https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1990-08-07;241!vig=	primary	200	89484	NOT-REACHED	HTTP 200, 89 kB, ZERO article text — site chrome only, body loaded by JS. c938's shape, second sighting this cycle.
7	Primary (i) Code civil (FR) art. 2247 — Wayback availability API	https://archive.org/wayback/available?url=legifrance.gouv.fr/codes/article_lc/LEGIARTI000006434246	fallback	200	200	NOT-REACHED	{"archived_snapshots": {}} — no snapshot exists at all. The c859 fallback has no stock for Legifrance article pages.
8	Primary (ii) Codice civile (IT) art. 2938 — Normattiva article endpoint	https://www.normattiva.it/atto/caricaArticolo?art.codiceRedazionale=042U0262&art.idArticolo=2938&...	primary	500	32259	NOT-REACHED	HTTP 500, body says "Errore! Sessione scaduta" — the endpoint requires a server session obtained by navigating the JS UI.
9	Primary (ii) Codice civile (IT) arts. 2934/2938 — Altalex consolidated	https://www.altalex.com/documents/codici-altalex/2015/01/02/codice-civile	near-primary	302	560	NOT-REACHED	302 redirect, no content.
10	Primary (ii) Codice civile (IT) arts. 2934/2938 — Altalex, following redirects	https://www.altalex.com/documents/codici-altalex/2015/01/02/codice-civile	near-primary	200	1486	NOT-REACHED	Redirect chain terminates at login.wolterskluwer.eu SSO. HTTP 200, 1.5 kB, no statutory text — third c938-shape 200 this cycle.
